ENSG00000142207	ENSP00000372199
ENSG00000095397	ENSP00000354623
ENSG00000136827	ENSP00000345719
ENSG00000015532	ENSP00000017003
ENSG00000077380	ENSP00000380308
ENSG00000171914	ENSP00000453508
ENSG00000187239	ENSP00000413625
ENSG00000142089	ENSP00000382707
ENSG00000113763	ENSP00000332737
ENSG00000160883	ENSP00000292432
ENSG00000013364	ENSP00000378760
ENSG00000171163	ENSP00000391200
ENSG00000141994	ENSP00000311977
ENSG00000178700	ENSP00000377768
ENSG00000087087	ENSP00000480421
ENSG00000179085	ENSP00000357384
ENSG00000162521	ENSP00000362592
ENSG00000197150	ENSP00000297504
ENSG00000111639	ENSP00000229238
ENSG00000103319	ENSP00000263026
ENSG00000114026	ENSP00000306561
ENSG00000070423	ENSP00000292363
ENSG00000106829	ENSP00000365720
ENSG00000028277	ENSP00000431603
ENSG00000093144	ENSP00000436585
ENSG00000160584	ENSP00000364449
ENSG00000118729	ENSP00000261448
ENSG00000105185	ENSP00000466214
ENSG00000213965	ENSP00000380251
ENSG00000146909	ENSP00000275820
ENSG00000106462	ENSP00000320147
ENSG00000164631	ENSP00000385939
ENSG00000257184	ENSP00000421799
ENSG00000161944	ENSP00000347140
ENSG00000018869	ENSP00000301310
ENSG00000221910	ENSP00000386222
ENSG00000051341	ENSP00000264233
ENSG00000234444	ENSP00000400852
ENSG00000153879	ENSP00000284000
ENSG00000188037	ENSP00000339867
ENSG00000155034	ENSP00000371805
ENSG00000158773	ENSP00000357000
ENSG00000172081	ENSP00000349575
ENSG00000142230	ENSP00000270225
ENSG00000064309	ENSP00000376458
ENSG00000142731	ENSP00000270861
ENSG00000138709	ENSP00000321997
ENSG00000074416	ENSP00000265052
ENSG00000138036	ENSP00000474032
ENSG00000173226	ENSP00000311505
ENSG00000173327	ENSP00000309597
ENSG00000178732	ENSP00000383931
ENSG00000167531	ENSP00000301046
ENSG00000198464	ENSP00000471754
ENSG00000137474	ENSP00000386331
ENSG00000081052	ENSP00000379866
ENSG00000111339	ENSP00000228936
ENSG00000134817	ENSP00000475344
ENSG00000115677	ENSP00000375836
ENSG00000196228	ENSP00000333310
ENSG00000149311	ENSP00000278616
ENSG00000065371	ENSP00000184183
ENSG00000160695	ENSP00000481126
ENSG00000136682	ENSP00000259199
ENSG00000167842	ENSP00000484532
ENSG00000174276	ENSP00000308548
ENSG00000149806	ENSP00000435370
ENSG00000170442	ENSP00000444533
ENSG00000179195	ENSP00000441405
ENSG00000149212	ENSP00000441927
ENSG00000071282	ENSP00000157600
ENSG00000182742	ENSP00000328928
ENSG00000152061	ENSP00000251507
ENSG00000135930	ENSP00000258416
ENSG00000142677	ENSP00000270800
ENSG00000135387	ENSP00000340329
ENSG00000117533	ENSP00000236192
ENSG00000187098	ENSP00000295600
ENSG00000182901	ENSP00000355523
ENSG00000188822	ENSP00000363596
ENSG00000198648	ENSP00000348278
ENSG00000153201	ENSP00000283195
ENSG00000162413	ENSP00000366886
ENSG00000135919	ENSP00000415786
ENSG00000172116	ENSP00000331172
ENSG00000169885	ENSP00000304643
ENSG00000144366	ENSP00000386289
ENSG00000116062	ENSP00000234420
ENSG00000117791	ENSP00000355880
ENSG00000078018	ENSP00000353508
ENSG00000198574	ENSP00000356906
ENSG00000266472	ENSP00000461930
ENSG00000169972	ENSP00000368318
ENSG00000162614	ENSP00000333938
ENSG00000169174	ENSP00000303208
ENSG00000162543	ENSP00000364240
ENSG00000133119	ENSP00000369411
ENSG00000152484	ENSP00000282344
ENSG00000159231	ENSP00000290354
ENSG00000124191	ENSP00000344724
ENSG00000205755	ENSP00000383641
ENSG00000170262	ENSP00000382684
ENSG00000050130	ENSP00000450749
ENSG00000134759	ENSP00000414851
ENSG00000159873	ENSP00000249064
ENSG00000102683	ENSP00000218867
ENSG00000165629	ENSP00000349142
ENSG00000152464	ENSP00000478982
ENSG00000182732	ENSP00000451030
ENSG00000124787	ENSP00000369391
ENSG00000136750	ENSP00000365437
ENSG00000204703	ENSP00000366378
ENSG00000101166	ENSP00000348206
ENSG00000137364	ENSP00000312304
ENSG00000016082	ENSP00000230658
ENSG00000185753	ENSP00000330488
ENSG00000165496	ENSP00000298283
ENSG00000100403	ENSP00000345793
ENSG00000153391	ENSP00000391457
ENSG00000100138	ENSP00000383949
ENSG00000242372	ENSP00000363574
ENSG00000164687	ENSP00000297258
ENSG00000159110	ENSP00000343957
ENSG00000122692	ENSP00000380336
ENSG00000065154	ENSP00000357838
ENSG00000148057	ENSP00000365601
ENSG00000074855	ENSP00000159087
ENSG00000185985	ENSP00000359521
ENSG00000058729	ENSP00000283109
ENSG00000114383	ENSP00000232496
ENSG00000256463	ENSP00000441823
ENSG00000137834	ENSP00000288840
ENSG00000169439	ENSP00000307046
ENSG00000169019	ENSP00000370984
ENSG00000138175	ENSP00000260746
ENSG00000184436	ENSP00000215742
ENSG00000284505	ENSP00000479586
ENSG00000112531	ENSP00000355094
ENSG00000188375	ENSP00000339835
ENSG00000138622	ENSP00000261917
ENSG00000001036	ENSP00000002165
ENSG00000121068	ENSP00000240328
ENSG00000178363	ENSP00000315299
ENSG00000057608	ENSP00000369538
ENSG00000141232	ENSP00000427695
ENSG00000144746	ENSP00000273258
ENSG00000103111	ENSP00000248248
ENSG00000091844	ENSP00000356194
ENSG00000156269	ENSP00000286794
ENSG00000196475	ENSP00000351706
ENSG00000166401	ENSP00000381072
ENSG00000198670	ENSP00000321334
ENSG00000185238	ENSP00000331879
ENSG00000171843	ENSP00000369695
ENSG00000101850	ENSP00000417161
ENSG00000105171	ENSP00000465213
ENSG00000134698	ENSP00000362306
ENSG00000188229	ENSP00000341289
ENSG00000070061	ENSP00000363779
ENSG00000204653	ENSP00000373860
ENSG00000168135	ENSP00000306497
ENSG00000178409	ENSP00000411268
ENSG00000151470	ENSP00000281146
ENSG00000183709	ENSP00000333639
ENSG00000124491	ENSP00000264870
ENSG00000105227	ENSP00000326018
ENSG00000182264	ENSP00000327786
ENSG00000187837	ENSP00000339566
ENSG00000162600	ENSP00000360270
ENSG00000205442	ENSP00000474246
ENSG00000071082	ENSP00000386717
ENSG00000135249	ENSP00000257700
ENSG00000115266	ENSP00000442954
ENSG00000070501	ENSP00000265421
ENSG00000122420	ENSP00000359793
ENSG00000078898	ENSP00000170150
ENSG00000138166	ENSP00000358596
ENSG00000196233	ENSP00000360138
ENSG00000006744	ENSP00000337445
ENSG00000119403	ENSP00000483946
ENSG00000096996	ENSP00000470788
ENSG00000168556	ENSP00000307183
ENSG00000122068	ENSP00000241502
ENSG00000255408	ENSP00000429808
ENSG00000172339	ENSP00000359224
ENSG00000265354	ENSP00000464522
ENSG00000137077	ENSP00000259607
ENSG00000136352	ENSP00000346879
ENSG00000170786	ENSP00000307607
ENSG00000182324	ENSP00000375756
ENSG00000125375	ENSP00000308334
ENSG00000211448	ENSP00000450980
ENSG00000163634	ENSP00000295899
ENSG00000102038	ENSP00000360162
ENSG00000109536	ENSP00000226798
ENSG00000121057	ENSP00000478212
ENSG00000144908	ENSP00000273450
ENSG00000147316	ENSP00000342924
ENSG00000204308	ENSP00000364235
ENSG00000138185	ENSP00000360250
ENSG00000099860	ENSP00000215631
ENSG00000170276	ENSP00000302476
ENSG00000111445	ENSP00000408295
ENSG00000166136	ENSP00000299166
ENSG00000198914	ENSP00000355001
ENSG00000007866	ENSP00000345772
ENSG00000145604	ENSP00000274255
ENSG00000205542	ENSP00000370010
ENSG00000149269	ENSP00000278568
ENSG00000167721	ENSP00000301364
ENSG00000278588	ENSP00000366962
ENSG00000168439	ENSP00000351646
ENSG00000143228	ENSP00000271452
ENSG00000138615	ENSP00000261883
ENSG00000149357	ENSP00000278671
ENSG00000104998	ENSP00000263379
ENSG00000165905	ENSP00000432869
ENSG00000161381	ENSP00000323927
ENSG00000197540	ENSP00000264553
ENSG00000127022	ENSP00000247461
ENSG00000175294	ENSP00000309052
ENSG00000114450	ENSP00000232564
ENSG00000174744	ENSP00000396052
ENSG00000120738	ENSP00000239938
ENSG00000181450	ENSP00000344828
ENSG00000123485	ENSP00000414109
ENSG00000078579	ENSP00000180166
ENSG00000117707	ENSP00000355925
ENSG00000259384	ENSP00000312673
ENSG00000063601	ENSP00000359417
ENSG00000064199	ENSP00000432305
ENSG00000177938	ENSP00000326238
ENSG00000119673	ENSP00000238651
ENSG00000157150	ENSP00000287814
ENSG00000171861	ENSP00000306080
ENSG00000115841	ENSP00000234195
ENSG00000173085	ENSP00000310873
ENSG00000167645	ENSP00000343435
ENSG00000028310	ENSP00000419765
ENSG00000105258	ENSP00000221859
ENSG00000213551	ENSP00000362041
ENSG00000140575	ENSP00000268182
ENSG00000244482	ENSP00000379651
ENSG00000184857	ENSP00000331640
ENSG00000186723	ENSP00000335596
ENSG00000175538	ENSP00000310557
ENSG00000120129	ENSP00000239223
ENSG00000153006	ENSP00000427401
ENSG00000144035	ENSP00000272425
ENSG00000140332	ENSP00000452871
ENSG00000107164	ENSP00000318177
ENSG00000165623	ENSP00000367952
ENSG00000166483	ENSP00000402084
ENSG00000131187	ENSP00000253496
ENSG00000161057	ENSP00000391211
ENSG00000180304	ENSP00000463013
ENSG00000136279	ENSP00000417653
ENSG00000166275	ENSP00000342331
ENSG00000151292	ENSP00000353904
ENSG00000248385	ENSP00000439454
ENSG00000180016	ENSP00000313384
ENSG00000166813	ENSP00000377934
ENSG00000196782	ENSP00000421180
ENSG00000137193	ENSP00000362608
ENSG00000117906	ENSP00000319739
ENSG00000139567	ENSP00000373574
ENSG00000258311	ENSP00000447650
ENSG00000111321	ENSP00000228918
ENSG00000186448	ENSP00000379370
ENSG00000158869	ENSP00000289902
ENSG00000004777	ENSP00000320038
ENSG00000103197	ENSP00000219476
ENSG00000120265	ENSP00000356354
ENSG00000140451	ENSP00000328174
ENSG00000010292	ENSP00000325017
ENSG00000172059	ENSP00000307023
ENSG00000140853	ENSP00000262510
ENSG00000117748	ENSP00000363017
ENSG00000136213	ENSP00000481912
ENSG00000105514	ENSP00000222120
ENSG00000122591	ENSP00000403396
ENSG00000063169	ENSP00000379946
ENSG00000255346	ENSP00000373518
ENSG00000130479	ENSP00000325313
ENSG00000166394	ENSP00000437041
ENSG00000181963	ENSP00000318956
ENSG00000179134	ENSP00000317224
ENSG00000142319	ENSP00000270349
ENSG00000270800	ENSP00000475027
ENSG00000140968	ENSP00000268638
ENSG00000073060	ENSP00000261693
ENSG00000115271	ENSP00000394842
ENSG00000189013	ENSP00000339634
ENSG00000214022	ENSP00000417291
ENSG00000105808	ENSP00000262940
ENSG00000169683	ENSP00000306760
ENSG00000143369	ENSP00000358045
ENSG00000229183	ENSP00000367391
ENSG00000143799	ENSP00000355759
ENSG00000091527	ENSP00000264993
ENSG00000173406	ENSP00000360280
ENSG00000111731	ENSP00000443204
ENSG00000214300	ENSP00000329565
ENSG00000242221	ENSP00000385706
ENSG00000204099	ENSP00000320318
ENSG00000135775	ENSP00000355629
ENSG00000197863	ENSP00000349161
ENSG00000110786	ENSP00000351342
ENSG00000153814	ENSP00000283928
ENSG00000144230	ENSP00000442982
ENSG00000134313	ENSP00000256707
ENSG00000179348	ENSP00000345681
ENSG00000135473	ENSP00000401721
ENSG00000275152	ENSP00000478024
ENSG00000143376	ENSP00000357836
ENSG00000121377	ENSP00000240687
ENSG00000180098	ENSP00000362936
ENSG00000114098	ENSP00000420333
ENSG00000182208	ENSP00000328694
ENSG00000157219	ENSP00000287907
ENSG00000084764	ENSP00000233121
ENSG00000135250	ENSP00000377262
ENSG00000111218	ENSP00000372067
ENSG00000175093	ENSP00000311609
ENSG00000139636	ENSP00000267102
ENSG00000169554	ENSP00000454157
ENSG00000149084	ENSP00000278353
ENSG00000067715	ENSP00000261205
ENSG00000091409	ENSP00000386896
ENSG00000259571	ENSP00000453153
ENSG00000264522	ENSP00000462729
ENSG00000143870	ENSP00000385385
ENSG00000169756	ENSP00000446121
ENSG00000163807	ENSP00000296121
ENSG00000115461	ENSP00000233813
ENSG00000121966	ENSP00000386884
ENSG00000187048	ENSP00000311095
ENSG00000135622	ENSP00000350547
ENSG00000162813	ENSP00000446828
ENSG00000196504	ENSP00000386458
ENSG00000116473	ENSP00000358723
ENSG00000119042	ENSP00000401112
ENSG00000116560	ENSP00000349748
ENSG00000171722	ENSP00000356912
ENSG00000128656	ENSP00000386741
ENSG00000162616	ENSP00000359799
ENSG00000159086	ENSP00000328992
ENSG00000159228	ENSP00000290349
ENSG00000141665	ENSP00000393154
ENSG00000241945	ENSP00000291576
ENSG00000088298	ENSP00000363616
ENSG00000101493	ENSP00000394757
ENSG00000102218	ENSP00000218340
ENSG00000151461	ENSP00000348708
ENSG00000187045	ENSP00000371211
ENSG00000171703	ENSP00000343515
ENSG00000175065	ENSP00000352785
ENSG00000124222	ENSP00000360183
ENSG00000198881	ENSP00000355195
ENSG00000141934	ENSP00000329697
ENSG00000183765	ENSP00000372023
ENSG00000101306	ENSP00000365162
ENSG00000065833	ENSP00000358719
ENSG00000104331	ENSP00000262644
ENSG00000074356	ENSP00000373657
ENSG00000007350	ENSP00000358931
ENSG00000280165	ENSP00000387250
ENSG00000073146	ENSP00000262794
ENSG00000176566	ENSP00000316496
ENSG00000186479	ENSP00000334851
ENSG00000181143	ENSP00000381008
ENSG00000100297	ENSP00000216122
ENSG00000165799	ENSP00000298690
ENSG00000129596	ENSP00000250535
ENSG00000176165	ENSP00000339004
ENSG00000050030	ENSP00000055682
ENSG00000153560	ENSP00000283629
ENSG00000113369	ENSP00000265138
ENSG00000103199	ENSP00000219478
ENSG00000215301	ENSP00000382840
ENSG00000131711	ENSP00000296755
ENSG00000147509	ENSP00000297313
ENSG00000135046	ENSP00000366109
ENSG00000177143	ENSP00000319052
ENSG00000176890	ENSP00000315644
ENSG00000126562	ENSP00000246914
ENSG00000107554	ENSP00000315659
ENSG00000169925	ENSP00000305918
ENSG00000186231	ENSP00000358265
ENSG00000138107	ENSP00000358921
ENSG00000105176	ENSP00000376097
ENSG00000204909	ENSP00000367139
ENSG00000196372	ENSP00000350331
ENSG00000168306	ENSP00000307697
ENSG00000122550	ENSP00000343273
ENSG00000169021	ENSP00000306397
ENSG00000205030	ENSP00000367650
ENSG00000011258	ENSP00000468304
ENSG00000170946	ENSP00000417548
ENSG00000146592	ENSP00000350359
ENSG00000081181	ENSP00000261783
ENSG00000140873	ENSP00000282849
ENSG00000112293	ENSP00000230036
ENSG00000145354	ENSP00000273986
ENSG00000183111	ENSP00000328083
ENSG00000184845	ENSP00000377353
ENSG00000021645	ENSP00000451648
ENSG00000142684	ENSP00000363384
ENSG00000274183	ENSP00000484261
ENSG00000100227	ENSP00000397927
ENSG00000168522	ENSP00000303423
ENSG00000171055	ENSP00000368547
ENSG00000213923	ENSP00000380044
ENSG00000092203	ENSP00000477868
ENSG00000176884	ENSP00000360608
ENSG00000196636	ENSP00000414066
ENSG00000140319	ENSP00000267884
ENSG00000103507	ENSP00000378405
ENSG00000181135	ENSP00000436212
ENSG00000100941	ENSP00000216832
ENSG00000115464	ENSP00000381577
ENSG00000100097	ENSP00000215909
ENSG00000119139	ENSP00000438262
ENSG00000162396	ENSP00000360327
ENSG00000006715	ENSP00000309457
ENSG00000237289	ENSP00000300283
ENSG00000096264	ENSP00000362181
ENSG00000099956	ENSP00000263121
ENSG00000174485	ENSP00000391167
ENSG00000183305	ENSP00000333487
ENSG00000162433	ENSP00000378743
ENSG00000213722	ENSP00000364945
ENSG00000165704	ENSP00000298556
ENSG00000196110	ENSP00000467723
ENSG00000012504	ENSP00000447149
ENSG00000143924	ENSP00000320663
ENSG00000104695	ENSP00000221138
ENSG00000148688	ENSP00000389182
ENSG00000172260	ENSP00000350364
ENSG00000125430	ENSP00000354213
ENSG00000091436	ENSP00000364361
ENSG00000158815	ENSP00000352414
ENSG00000116133	ENSP00000360316
ENSG00000134152	ENSP00000256544
ENSG00000091664	ENSP00000263160
ENSG00000159461	ENSP00000290649
ENSG00000120306	ENSP00000261811
ENSG00000135966	ENSP00000377027
ENSG00000104365	ENSP00000430684
ENSG00000188641	ENSP00000359211
ENSG00000163751	ENSP00000296046
ENSG00000112146	ENSP00000244426
ENSG00000109466	ENSP00000424198
ENSG00000166484	ENSP00000311005
ENSG00000162377	ENSP00000360593
ENSG00000107859	ENSP00000359019
ENSG00000185236	ENSP00000333547
ENSG00000134070	ENSP00000256458
ENSG00000124233	ENSP00000361867
ENSG00000237541	ENSP00000364076
ENSG00000132475	ENSP00000254810
ENSG00000068971	ENSP00000164133
ENSG00000213465	ENSP00000246747
ENSG00000092345	ENSP00000250863
ENSG00000139344	ENSP00000266736
ENSG00000127955	ENSP00000343027
ENSG00000120896	ENSP00000240123
ENSG00000136021	ENSP00000354061
ENSG00000177830	ENSP00000398722
ENSG00000084093	ENSP00000311816
ENSG00000141052	ENSP00000401678
ENSG00000109846	ENSP00000433560
ENSG00000138741	ENSP00000368966
ENSG00000166135	ENSP00000299163
ENSG00000225830	ENSP00000423550
ENSG00000151923	ENSP00000358089
ENSG00000104774	ENSP00000395473
ENSG00000115840	ENSP00000388658
ENSG00000119927	ENSP00000265276
ENSG00000173208	ENSP00000310688
ENSG00000105329	ENSP00000221930
ENSG00000047644	ENSP00000370242
ENSG00000173612	ENSP00000309493
ENSG00000185002	ENSP00000332208
ENSG00000170100	ENSP00000405289
ENSG00000087365	ENSP00000318861
ENSG00000177885	ENSP00000376345
ENSG00000178772	ENSP00000319464
ENSG00000172236	ENSP00000343577
ENSG00000148848	ENSP00000357668
ENSG00000147588	ENSP00000256103
ENSG00000197822	ENSP00000347379
ENSG00000161610	ENSP00000293330
ENSG00000116906	ENSP00000355607
ENSG00000167165	ENSP00000303174
ENSG00000123684	ENSP00000355964
ENSG00000241370	ENSP00000409799
ENSG00000255072	ENSP00000432688
ENSG00000129083	ENSP00000249923
ENSG00000241127	ENSP00000223273
ENSG00000035687	ENSP00000355493
ENSG00000114767	ENSP00000232888
ENSG00000197343	ENSP00000393876
ENSG00000175482	ENSP00000311368
ENSG00000188372	ENSP00000378326
ENSG00000069275	ENSP00000356110
ENSG00000145506	ENSP00000296849
ENSG00000109618	ENSP00000371535
ENSG00000170892	ENSP00000397402
ENSG00000182255	ENSP00000328511
ENSG00000109475	ENSP00000378163
ENSG00000189144	ENSP00000440464
ENSG00000086504	ENSP00000199706
ENSG00000126583	ENSP00000263431
ENSG00000151806	ENSP00000281543
ENSG00000152455	ENSP00000346997
ENSG00000197774	ENSP00000457353
ENSG00000137509	ENSP00000377055
ENSG00000161513	ENSP00000416515
ENSG00000076685	ENSP00000339479
ENSG00000185885	ENSP00000386187
ENSG00000113194	ENSP00000261942
ENSG00000136521	ENSP00000259037
ENSG00000112303	ENSP00000322276
ENSG00000188215	ENSP00000319482
ENSG00000069974	ENSP00000379601
ENSG00000137843	ENSP00000453858
ENSG00000170374	ENSP00000443827
ENSG00000162188	ENSP00000294117
ENSG00000244255	ENSP00000410815
ENSG00000145335	ENSP00000338345
ENSG00000107263	ENSP00000361263
ENSG00000162408	ENSP00000366934
ENSG00000092531	ENSP00000249647
ENSG00000092621	ENSP00000358417
ENSG00000143578	ENSP00000357596
ENSG00000158545	ENSP00000416951
ENSG00000164508	ENSP00000297012
ENSG00000130244	ENSP00000252530
ENSG00000167515	ENSP00000301021
ENSG00000186088	ENSP00000257626
ENSG00000249437	ENSP00000428657
ENSG00000016391	ENSP00000319851
ENSG00000021488	ENSP00000023064
ENSG00000196415	ENSP00000234347
ENSG00000274523	ENSP00000480364
ENSG00000250361	ENSP00000427690
ENSG00000198822	ENSP00000355316
ENSG00000134321	ENSP00000371471
ENSG00000174945	ENSP00000308149
ENSG00000145491	ENSP00000421405
ENSG00000114988	ENSP00000366280
ENSG00000127540	ENSP00000467262
ENSG00000006606	ENSP00000378365
ENSG00000108688	ENSP00000367832
ENSG00000005108	ENSP00000406482
ENSG00000176900	ENSP00000369738
ENSG00000181371	ENSP00000323354
ENSG00000177606	ENSP00000360266
ENSG00000167978	ENSP00000301740
ENSG00000129167	ENSP00000250018
ENSG00000130779	ENSP00000479322
ENSG00000205937	ENSP00000457723
ENSG00000131620	ENSP00000347454
ENSG00000095139	ENSP00000264028
ENSG00000178252	ENSP00000378857
ENSG00000182983	ENSP00000329264
ENSG00000110756	ENSP00000265967
ENSG00000160999	ENSP00000440273
ENSG00000165494	ENSP00000298281
ENSG00000183542	ENSP00000310216
ENSG00000228049	ENSP00000330898
ENSG00000014216	ENSP00000431984
ENSG00000139648	ENSP00000267119
ENSG00000137760	ENSP00000397673
ENSG00000118473	ENSP00000360076
ENSG00000189079	ENSP00000335044
ENSG00000163848	ENSP00000353863
ENSG00000143147	ENSP00000441039
ENSG00000197956	ENSP00000357709
ENSG00000188643	ENSP00000357693
ENSG00000196184	ENSP00000399078
ENSG00000158615	ENSP00000356156
ENSG00000144524	ENSP00000362710
ENSG00000135636	ENSP00000386881
ENSG00000115306	ENSP00000349259
ENSG00000116031	ENSP00000386378
ENSG00000160753	ENSP00000357336
ENSG00000081237	ENSP00000411355
ENSG00000117362	ENSP00000358105
ENSG00000265491	ENSP00000463650
ENSG00000049246	ENSP00000482093
ENSG00000159377	ENSP00000290541
ENSG00000117682	ENSP00000353104
ENSG00000154646	ENSP00000284885
ENSG00000120675	ENSP00000368523
ENSG00000152214	ENSP00000321805
ENSG00000160202	ENSP00000291554
ENSG00000036473	ENSP00000039007
ENSG00000101132	ENSP00000360473
ENSG00000154727	ENSP00000346886
ENSG00000101695	ENSP00000217740
ENSG00000178473	ENSP00000369798
ENSG00000173281	ENSP00000308318
ENSG00000151320	ENSP00000280979
ENSG00000113569	ENSP00000231498
ENSG00000174740	ENSP00000308012
ENSG00000239713	ENSP00000385057
ENSG00000127870	ENSP00000371000
ENSG00000090776	ENSP00000204961
ENSG00000064666	ENSP00000263097
ENSG00000125912	ENSP00000246117
ENSG00000204086	ENSP00000362131
ENSG00000067177	ENSP00000362643
ENSG00000176533	ENSP00000371594
ENSG00000129474	ENSP00000262713
ENSG00000112081	ENSP00000362820
ENSG00000005700	ENSP00000305721
ENSG00000138190	ENSP00000260762
ENSG00000096384	ENSP00000360609
ENSG00000144635	ENSP00000273130
ENSG00000104356	ENSP00000385787
ENSG00000153989	ENSP00000357480
ENSG00000157152	ENSP00000480050
ENSG00000182247	ENSP00000379931
ENSG00000120694	ENSP00000318687
